Altium Designer Pick and Place Locations
C:\Users\Michal\Desktop\Projekty\HV supply\HVSUP_module_1.5k_rev2.2\Project Outputs for HVSUP_channel v1\Pick Place\Pick Place for HVSUP_channel_LLC_rev2.1.csv

========================================================================================================================
File Design Information:

Date:       08.08.17
Time:       10:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R76","10k","TopLayer","RESC1005X40N","50.292","14.249","270","Resistor - 1%"
"R75","330","TopLayer","RESC1005X40N","52.984","14.529","360","Resistor - 1%"
"P2","10k","TopLayer","TRIM_BOURNS_3314G-1","12.446","16.942","90","Trimming Potentiometer"
"J14","FCI 86382000LF+86382001LF","TopLayer","FCI_86382000LF","104.750","36.000","360","D-SUB HIGH VOLTAGE CONTACT PIN"
"J13","FCI 86382000LF+86382001LF","TopLayer","FCI_86382000LF","104.750","14.000","360","D-SUB HIGH VOLTAGE CONTACT PIN"
"R47","47","TopLayer","RESC1608X55N","53.467","38.100","360","Resistor - 1%"
"J1","PLMD16R-LF","TopLayer","PLMD16R-LF","130.632","21.510","270","2mm  dual row goldpin (Maritex)"
"J5","Header 14","TopLayer","3M_N2514-5002RB","123.317","22.784","90","Connector 14 Male"
"J2","DNP","TopLayer","PHOENIX_1725656","128.753","36.703","180","Terminal Block, 2 Positions, Screw Connection"
"R12","47","TopLayer","RESC1608X55N","9.957","27.076","270","Resistor - 1%"
"C16","1uF","TopLayer","CAPC1608X87N","9.982","24.003","90","Non-polarised capacitor"
"C13","10uF","TopLayer","CAPC3216X180N","-4.827","32.156","180","Non-polarised capacitor"
"C12","47uF","TopLayer","CAPC3216X180N","55.474","23.014","90","Non-polarised capacitor"
"IC15","ATXMEGA128A3U-MH","TopLayer","QFN64","48.336","7.772","180","8/16-bit Atmel  XMEGA A3U  Microcontroller"
"L4","10uH","TopLayer","INDM3225X210N","63.652","17.958","0","Inductor With Core"
"R71","DNP","TopLayer","RESC1608X55N","69.723","8.814","360","Resistor"
"C69","1uF","TopLayer","CAPPR250-630X1120","83.724","26.518","180","Polarised capacitor"
"C14","100nF","TopLayer","CAPC1005X55N","3.505","33.604","180","Non-polarised capacitor"
